,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.05,16.0,16.0,16.0,16.0,16.0,16.0
Reserves,,-0.0,1907.0,2417.0,2650.0,2722.0,2911.0,3110.0
Borrowings,,0.0,556.0,238.0,407.0,740.0,764.0,792.0
Other Liabilities,,0.0,888.0,1111.0,1176.0,1241.0,1324.0,1566.0
Total Liabilities,,0.0,3366.0,3782.0,4249.0,4719.0,5015.0,5484.0
Fixed Assets,,0.0,1805.0,1798.0,1846.0,2539.0,2581.0,3183.0
CWIP,,0.0,65.0,174.0,525.0,331.0,525.0,154.0
Investments,,0.0,50.0,6.0,8.0,15.0,37.0,33.0
Other Assets,,0.0,1446.0,1804.0,1870.0,1834.0,1872.0,2113.0
Total Assets,,0.0,3366.0,3782.0,4249.0,4719.0,5015.0,5484.0
Land,Fixed Assets,0.0,69.67,75.51,84.5,82.6,82.44,
Building,Fixed Assets,0.0,320.27,327.52,344.53,422.66,467.76,
Plant Machinery,Fixed Assets,0.0,1875.81,1966.14,2089.33,2813.66,2930.27,
Equipments,Fixed Assets,0.0,35.46,39.82,44.49,50.58,52.5,
Furniture n fittings,Fixed Assets,0.0,11.37,11.5,11.53,12.46,12.43,
Railway sidings,Fixed Assets,0.0,10.84,10.84,10.84,10.84,10.84,
Vehicles,Fixed Assets,0.0,4.98,4.04,8.11,6.87,9.16,
Intangible Assets,Fixed Assets,0.0,8.07,8.07,8.07,8.07,8.07,35.02
Other fixed assets,Fixed Assets,0.0,16.18,16.18,24.13,32.81,40.47,
Gross Block,Fixed Assets,0.0,2352.65,2459.62,2625.53,3440.55,3613.94,
Accumulated Depreciation,Fixed Assets,0.0,547.56,661.34,779.35,901.84,1032.97,
Long term Borrowings,Borrowings,0.0,456.0,100.0,150.0,426.0,363.0,322.0
Short term Borrowings,Borrowings,0.0,90.0,129.0,247.0,307.0,393.0,459.0
Lease Liabilities,Borrowings,0.0,10.0,9.0,10.0,7.0,7.0,11.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,-0.0,0.0,
Trade Payables,Other Liabilities,0.0,694.0,798.0,801.0,767.0,815.0,941.0
Other liability items,Other Liabilities,0.0,193.0,313.0,375.0,475.0,509.0,625.0
Inventories,Other Assets,0.0,609.0,911.0,1035.0,941.0,943.0,880.0
Trade receivables,Other Assets,0.0,471.0,581.0,511.0,572.0,607.0,783.0
Cash Equivalents,Other Assets,0.0,117.0,49.0,85.0,80.0,99.0,190.0
Loans n Advances,Other Assets,0.0,64.0,52.0,70.0,63.0,68.0,13.0
Other asset items,Other Assets,0.0,185.0,211.0,169.0,177.0,155.0,247.0
