,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,1.0,1.0,1.0,1.0,1.0,33.0
Reserves,,238.0,340.0,504.0,523.0,500.0,1099.0
Borrowings,,1.0,23.0,0.0,209.0,293.0,272.0
Other Liabilities,,75.0,210.0,287.0,195.0,257.0,348.0
Total Liabilities,,314.0,574.0,792.0,928.0,1051.0,1751.0
Fixed Assets,,49.0,227.0,290.0,329.0,415.0,389.0
CWIP,,2.0,43.0,3.0,2.0,1.0,2.0
Investments,,39.0,65.0,32.0,138.0,51.0,80.0
Other Assets,,225.0,239.0,467.0,458.0,583.0,1280.0
Total Assets,,314.0,574.0,792.0,928.0,1051.0,1751.0
Land,Fixed Assets,0.0,0.0,8.55,0.0,0.0,
Building,Fixed Assets,2.35,6.46,0.0,247.16,383.83,
Plant Machinery,Fixed Assets,43.75,0.0,0.0,179.58,185.75,
Equipments,Fixed Assets,1.06,96.93,160.02,8.72,16.17,
Computers,Fixed Assets,4.67,7.25,7.98,9.57,11.3,
Furniture n fittings,Fixed Assets,3.38,3.96,7.26,7.99,12.85,
Vehicles,Fixed Assets,0.07,0.06,0.06,0.06,0.08,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,1.13
Other fixed assets,Fixed Assets,0.06,136.32,171.01,2.08,2.97,
Gross Block,Fixed Assets,55.34,250.98,354.88,455.16,612.95,
Accumulated Depreciation,Fixed Assets,6.8,23.95,65.27,125.79,197.53,
Short term Borrowings,Borrowings,0.0,0.0,0.0,7.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,183.0,273.0,272.0
Preference Capital,Borrowings,1.0,0.0,0.0,19.0,19.0,0.0
Other Borrowings,Borrowings,0.0,23.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,59.0,83.0,110.0,144.0,157.0,194.0
Advance from Customers,Other Liabilities,7.0,9.0,0.0,20.0,33.0,
Other liability items,Other Liabilities,9.0,119.0,177.0,31.0,66.0,153.0
Inventories,Other Assets,76.0,137.0,116.0,131.0,164.0,198.0
Trade receivables,Other Assets,8.0,14.0,17.0,28.0,6.0,2.0
Cash Equivalents,Other Assets,91.0,18.0,173.0,17.0,10.0,243.0
Loans n Advances,Other Assets,5.0,8.0,0.0,13.0,10.0,352.0
Other asset items,Other Assets,46.0,62.0,162.0,270.0,394.0,486.0
